State,"Median
income
(2018)","Median
income
(2017)","Median
income
(2016)","Median
income
(2015)","Median
income
(2014)","Median
income
(2013)","Median
income
(2012)","Median
income
(2011)","Median
income
(2010)","Avg.
Median Income",State Income Tax Level,Total Change in Income,Percent Change in Income,Avg. Yearly Change
Alabama,"49,936","51,113","47,221","44,509","42,278","47,320","43,464","42,590","40,933","45,485",0.0500,"9,003",0.219944788,0.027493098
Alaska,"68,734","72,231","75,723","75,112","67,629","72,472","63,648","57,431","57,848","67,870",0.0000,"10,886",0.188182824,0.023522853
Arizona,"62,283","61,125","57,100","52,248","49,254","52,611","47,044","48,621","46,896","53,020",0.0424,"15,387",0.328109007,0.041013626
Arkansas,"49,781","48,829","45,907","42,798","44,922","39,376","39,018","41,302","38,587","43,391",0.0690,"11,194",0.290097701,0.036262213
California,"70,489","69,759","66,637","63,636","60,487","60,794","57,020","53,367","54,283","61,830",0.0930,"16,206",0.298546506,0.037318313
Colorado,"73,034","74,172","70,566","66,596","60,940","67,912","57,255","58,629","60,233","65,482",0.0463,"12,801",0.212524696,0.026565587
Connecticut,"72,812","72,780","75,923","72,889","70,161","69,291","64,247","65,415","65,998","69,946",0.0550,"6,814",0.103245553,0.012905694
Delaware,"65,012","62,318","58,046","57,756","57,522","54,091","48,972","54,660","55,214","57,066",0.0555,"9,798",0.177454993,0.022181874
D.C.,"85,750","83,382","70,982","70,071","68,277","60,057","65,246","55,251","56,928","68,438",0.0850,"28,822",0.506288645,0.063286081
Florida,"54,644","53,681","51,176","48,825","46,140","48,532","46,071","45,105","44,066","48,693",0.0000,"10,578",0.240049017,0.030006127
Georgia,"55,821","57,016","53,527","50,768","49,555","46,992","48,121","45,973","44,117","50,210",0.0600,"11,704",0.265294558,0.03316182
Hawaii,"80,108","73,575","72,133","64,514","71,223","64,235","56,263","59,047","59,539","66,737",0.0825,"20,569",0.345471036,0.043183879
Idaho,"58,728","60,208","56,564","51,624","53,438","48,467","47,922","47,459","47,050","52,384",0.0740,"11,678",0.248204038,0.031025505
Illinois,"70,145","64,609","61,386","60,413","54,916","53,937","51,738","50,637","50,728","57,612",0.0495,"19,417",0.382766914,0.047845864
Indiana,"59,892","58,873","56,094","51,983","48,060","49,455","46,158","44,445","46,139","51,233",0.0323,"13,753",0.298077548,0.037259694
Iowa,"68,718","63,481","59,094","60,855","57,810","60,156","53,442","50,219","49,016","58,088",0.0792,"19,702",0.401950384,0.050243798
Kansas,"63,938","57,872","56,810","54,865","53,444","47,820","50,003","46,147","46,054","52,995",0.0570,"17,884",0.388326747,0.048540843
